File,Length (s),Padding_Time
13B3-1_exhale-i63_62.wav,2.66,0.33999999999999986
13B3-1_exhale-i64_131.wav,0.71,2.29
13B3-1_exhale-i64_63.wav,2.14,0.8599999999999999
13B3-1_exhale-i65_132.wav,1.88,1.12
13B3-1_exhale-i65_64.wav,2.54,0.45999999999999996
13B3-1_exhale-i66_133.wav,1.57,1.43
13B3-1_exhale-i66_65.wav,1.3,1.7
13B3-1_exhale-i67_134.wav,2.52,0.48
13B3-1_exhale-i68_135.wav,1.67,1.33
13B3-1_exhale-i69_136.wav,1.65,1.35
13B3-1_exhale-i6_6.wav,2.21,0.79
13B3-1_exhale-i6_73.wav,1.44,1.56
13B3-1_exhale-i7_7.wav,1.17,1.83
13B3-1_exhale-i7_74.wav,1.84,1.16
13B3-1_exhale-i8_75.wav,1.71,1.29
13B3-1_exhale-i8_8.wav,1.56,1.44
13B3-1_exhale-i9_76.wav,1.49,1.51
13B3-1_exhale-i9_9.wav,1.35,1.65
14B19-1_exhale-i100_153.wav,2.03,0.9700000000000002
14B19-1_exhale-i101_154.wav,2.3,0.7000000000000002
14B19-1_exhale-i102_155.wav,2.15,0.8500000000000001
14B19-1_exhale-i103_156.wav,1.6,1.4
14B19-1_exhale-i10_10.wav,0.74,2.26
14B19-1_exhale-i10_63.wav,1.78,1.22
14B19-1_exhale-i11_11.wav,1.06,1.94
14B19-1_exhale-i11_64.wav,2.72,0.2799999999999998
14B19-1_exhale-i12_12.wav,0.76,2.24
14B19-1_exhale-i12_65.wav,1.81,1.19
14B19-1_exhale-i13_13.wav,0.91,2.09
14B19-1_exhale-i13_66.wav,3.0,0.0
14B19-1_exhale-i14_14.wav,1.27,1.73
14B19-1_exhale-i14_67.wav,2.13,0.8700000000000001
14B19-1_exhale-i15_15.wav,1.11,1.89
14B19-1_exhale-i15_68.wav,2.94,0.06000000000000005
14B19-1_exhale-i16_16.wav,0.94,2.06
14B19-1_exhale-i16_69.wav,2.09,0.9100000000000001
14B19-1_exhale-i17_17.wav,1.12,1.88
14B19-1_exhale-i17_70.wav,1.5,1.5
14B19-1_exhale-i18_18.wav,0.84,2.16
14B19-1_exhale-i18_71.wav,1.4,1.6
14B19-1_exhale-i19_19.wav,1.25,1.75
14B19-1_exhale-i19_72.wav,2.2,0.7999999999999998
14B19-1_exhale-i1_1.wav,0.86,2.14
14B19-1_exhale-i1_54.wav,2.26,0.7400000000000002
14B19-1_exhale-i20_20.wav,1.08,1.92
14B19-1_exhale-i20_73.wav,2.12,0.8799999999999999
14B19-1_exhale-i21_21.wav,0.9,2.1
14B19-1_exhale-i21_74.wav,1.84,1.16
14B19-1_exhale-i22_22.wav,0.95,2.05
14B19-1_exhale-i22_75.wav,1.21,1.79
14B19-1_exhale-i23_23.wav,1.46,1.54
14B19-1_exhale-i23_76.wav,1.84,1.16
14B19-1_exhale-i24_24.wav,1.96,1.04
14B19-1_exhale-i24_77.wav,1.67,1.33
14B19-1_exhale-i25_25.wav,1.83,1.17
14B19-1_exhale-i25_78.wav,1.4,1.6
14B19-1_exhale-i26_26.wav,1.3,1.7
14B19-1_exhale-i26_79.wav,1.51,1.49
14B19-1_exhale-i27_27.wav,1.48,1.52
14B19-1_exhale-i27_80.wav,1.71,1.29
14B19-1_exhale-i28_28.wav,1.73,1.27
14B19-1_exhale-i28_81.wav,2.29,0.71
14B19-1_exhale-i29_29.wav,1.68,1.32
14B19-1_exhale-i29_82.wav,1.75,1.25
14B19-1_exhale-i2_2.wav,0.87,2.13
14B19-1_exhale-i2_55.wav,2.03,0.9700000000000002
14B19-1_exhale-i30_30.wav,1.95,1.05
14B19-1_exhale-i30_83.wav,2.18,0.8199999999999998
14B19-1_exhale-i31_31.wav,1.07,1.93
14B19-1_exhale-i31_84.wav,2.29,0.71
14B19-1_exhale-i32_32.wav,0.87,2.13
14B19-1_exhale-i32_85.wav,2.04,0.96
14B19-1_exhale-i33_33.wav,1.38,1.62
14B19-1_exhale-i33_86.wav,2.06,0.94
14B19-1_exhale-i34_34.wav,1.34,1.66
14B19-1_exhale-i34_87.wav,2.36,0.6400000000000001
14B19-1_exhale-i35_35.wav,0.93,2.07
14B19-1_exhale-i35_88.wav,1.73,1.27
14B19-1_exhale-i36_36.wav,0.82,2.18
14B19-1_exhale-i36_89.wav,1.68,1.32
14B19-1_exhale-i37_37.wav,1.29,1.71
14B19-1_exhale-i37_90.wav,1.75,1.25
14B19-1_exhale-i38_38.wav,1.28,1.72
14B19-1_exhale-i38_91.wav,1.81,1.19
14B19-1_exhale-i39_39.wav,1.49,1.51
14B19-1_exhale-i39_92.wav,1.58,1.42
14B19-1_exhale-i3_3.wav,0.74,2.26
14B19-1_exhale-i3_56.wav,1.96,1.04
14B19-1_exhale-i40_40.wav,1.71,1.29
14B19-1_exhale-i40_93.wav,1.95,1.05
14B19-1_exhale-i41_41.wav,2.59,0.41000000000000014
14B19-1_exhale-i41_94.wav,2.01,0.9900000000000002
14B19-1_exhale-i42_42.wav,2.41,0.5899999999999999
14B19-1_exhale-i42_95.wav,2.39,0.6099999999999999
14B19-1_exhale-i43_43.wav,2.49,0.5099999999999998
14B19-1_exhale-i43_96.wav,2.28,0.7200000000000002
14B19-1_exhale-i44_44.wav,2.18,0.8199999999999998
14B19-1_exhale-i44_97.wav,2.49,0.5099999999999998
14B19-1_exhale-i45_45.wav,1.69,1.31
14B19-1_exhale-i45_98.wav,2.43,0.5699999999999998
14B19-1_exhale-i46_46.wav,1.44,1.56
14B19-1_exhale-i46_99.wav,1.96,1.04
14B19-1_exhale-i47_100.wav,1.83,1.17
14B19-1_exhale-i47_47.wav,2.52,0.48
14B19-1_exhale-i48_101.wav,1.99,1.01
14B19-1_exhale-i48_48.wav,2.91,0.08999999999999986
14B19-1_exhale-i49_102.wav,1.81,1.19
14B19-1_exhale-i49_49.wav,3.02,2.98
14B19-1_exhale-i4_4.wav,0.65,2.35
14B19-1_exhale-i4_57.wav,1.81,1.19
14B19-1_exhale-i50_103.wav,2.1,0.8999999999999999
14B19-1_exhale-i50_50.wav,1.97,1.03
14B19-1_exhale-i51_104.wav,2.61,0.3900000000000001
14B19-1_exhale-i51_51.wav,1.34,1.66
14B19-1_exhale-i52_105.wav,2.13,0.8700000000000001
14B19-1_exhale-i52_52.wav,1.73,1.27
14B19-1_exhale-i53_106.wav,1.7,1.3
14B19-1_exhale-i53_53.wav,1.48,1.52
14B19-1_exhale-i54_107.wav,2.37,0.6299999999999999
14B19-1_exhale-i55_108.wav,2.25,0.75
14B19-1_exhale-i56_109.wav,2.32,0.6800000000000002
14B19-1_exhale-i57_110.wav,2.1,0.8999999999999999
14B19-1_exhale-i58_111.wav,1.31,1.69
14B19-1_exhale-i59_112.wav,1.13,1.87
14B19-1_exhale-i5_5.wav,0.88,2.12
14B19-1_exhale-i5_58.wav,1.46,1.54
14B19-1_exhale-i60_113.wav,1.72,1.28
14B19-1_exhale-i61_114.wav,1.6,1.4
14B19-1_exhale-i62_115.wav,1.75,1.25
14B19-1_exhale-i63_116.wav,1.35,1.65
14B19-1_exhale-i64_117.wav,0.81,2.19
14B19-1_exhale-i65_118.wav,1.06,1.94
14B19-1_exhale-i66_119.wav,1.3,1.7
14B19-1_exhale-i67_120.wav,1.49,1.51
14B19-1_exhale-i68_121.wav,1.19,1.81
14B19-1_exhale-i69_122.wav,1.16,1.84
14B19-1_exhale-i6_59.wav,1.52,1.48
14B19-1_exhale-i6_6.wav,0.73,2.27
14B19-1_exhale-i70_123.wav,0.81,2.19
14B19-1_exhale-i71_124.wav,1.42,1.58
14B19-1_exhale-i72_125.wav,1.62,1.38
14B19-1_exhale-i73_126.wav,1.74,1.26
14B19-1_exhale-i74_127.wav,1.48,1.52
14B19-1_exhale-i75_128.wav,1.73,1.27
14B19-1_exhale-i76_129.wav,2.1,0.8999999999999999
14B19-1_exhale-i77_130.wav,1.77,1.23
14B19-1_exhale-i78_131.wav,1.91,1.09
14B19-1_exhale-i79_132.wav,1.54,1.46
14B19-1_exhale-i7_60.wav,1.39,1.61
14B19-1_exhale-i7_7.wav,1.21,1.79
14B19-1_exhale-i80_133.wav,1.7,1.3
14B19-1_exhale-i81_134.wav,1.11,1.89
14B19-1_exhale-i82_135.wav,1.25,1.75
14B19-1_exhale-i83_136.wav,1.39,1.61
14B19-1_exhale-i84_137.wav,1.02,1.98
14B19-1_exhale-i85_138.wav,1.16,1.84
14B19-1_exhale-i86_139.wav,1.54,1.46
14B19-1_exhale-i87_140.wav,0.94,2.06
14B19-1_exhale-i88_141.wav,1.66,1.34
14B19-1_exhale-i89_142.wav,1.6,1.4
14B19-1_exhale-i8_61.wav,1.2,1.8
14B19-1_exhale-i8_8.wav,1.5,1.5
14B19-1_exhale-i90_143.wav,2.63,0.3700000000000001
14B19-1_exhale-i91_144.wav,1.17,1.83
14B19-1_exhale-i92_145.wav,1.28,1.72
14B19-1_exhale-i93_146.wav,2.04,0.96
14B19-1_exhale-i94_147.wav,1.51,1.49
14B19-1_exhale-i95_148.wav,1.96,1.04
14B19-1_exhale-i96_149.wav,2.34,0.6600000000000001
14B19-1_exhale-i97_150.wav,1.62,1.38
14B19-1_exhale-i98_151.wav,1.44,1.56
14B19-1_exhale-i99_152.wav,1.68,1.32
14B19-1_exhale-i9_62.wav,1.38,1.62
14B19-1_exhale-i9_9.wav,1.32,1.68
15B2-2_exhale-i10_10.wav,2.8,0.20000000000000018
15B2-2_exhale-i10_103.wav,1.84,1.16
15B2-2_exhale-i10_75.wav,2.6,0.3999999999999999
15B2-2_exhale-i11_105.wav,2.41,0.5899999999999999
15B2-2_exhale-i11_11.wav,1.81,1.19
15B2-2_exhale-i11_76.wav,2.58,0.41999999999999993
15B2-2_exhale-i12_106.wav,2.52,0.48
15B2-2_exhale-i12_12.wav,1.48,1.52
15B2-2_exhale-i12_77.wav,2.34,0.6600000000000001
15B2-2_exhale-i13_107.wav,1.69,1.31
15B2-2_exhale-i13_13.wav,1.2,1.8
15B2-2_exhale-i13_78.wav,2.97,0.029999999999999805
15B2-2_exhale-i14_108.wav,2.09,0.9100000000000001
15B2-2_exhale-i14_14.wav,0.81,2.19
15B2-2_exhale-i14_79.wav,2.84,0.16000000000000014
15B2-2_exhale-i15_109.wav,2.45,0.5499999999999998
15B2-2_exhale-i15_15.wav,0.94,2.06
15B2-2_exhale-i15_80.wav,1.23,1.77
15B2-2_exhale-i16_110.wav,2.41,0.5899999999999999
15B2-2_exhale-i16_16.wav,1.73,1.27
15B2-2_exhale-i16_81.wav,1.91,1.09
15B2-2_exhale-i17_111.wav,1.98,1.02
15B2-2_exhale-i17_17.wav,1.96,1.04
15B2-2_exhale-i17_82.wav,2.06,0.94
15B2-2_exhale-i18_112.wav,2.48,0.52
15B2-2_exhale-i18_18.wav,1.45,1.55
15B2-2_exhale-i18_83.wav,2.19,0.81
15B2-2_exhale-i19_113.wav,1.32,1.68
15B2-2_exhale-i19_19.wav,1.6,1.4
15B2-2_exhale-i19_84.wav,2.15,0.8500000000000001
15B2-2_exhale-i1_1.wav,1.96,1.04
15B2-2_exhale-i1_66.wav,1.9,1.1
15B2-2_exhale-i1_93.wav,1.87,1.13
15B2-2_exhale-i20_114.wav,2.42,0.5800000000000001
15B2-2_exhale-i20_20.wav,1.83,1.17
15B2-2_exhale-i20_85.wav,1.77,1.23
15B2-2_exhale-i21_115.wav,2.24,0.7599999999999998
15B2-2_exhale-i21_21.wav,0.76,2.24
15B2-2_exhale-i21_86.wav,1.44,1.56
15B2-2_exhale-i22_116.wav,2.18,0.8199999999999998
15B2-2_exhale-i22_22.wav,1.58,1.42
15B2-2_exhale-i22_87.wav,2.02,0.98
15B2-2_exhale-i23_117.wav,2.2,0.7999999999999998
15B2-2_exhale-i23_23.wav,1.2,1.8
15B2-2_exhale-i23_88.wav,1.54,1.46
15B2-2_exhale-i24_118.wav,2.39,0.6099999999999999
15B2-2_exhale-i24_24.wav,1.71,1.29
15B2-2_exhale-i24_89.wav,1.48,1.52
15B2-2_exhale-i25_104.wav,2.16,0.8399999999999999
15B2-2_exhale-i25_25.wav,1.22,1.78
15B2-2_exhale-i25_90.wav,1.03,1.97
15B2-2_exhale-i26_26.wav,0.48,2.52
15B2-2_exhale-i26_91.wav,1.37,1.63
15B2-2_exhale-i26_98.wav,2.41,0.5899999999999999
15B2-2_exhale-i27_27.wav,0.97,2.0300000000000002
15B2-2_exhale-i27_92.wav,1.07,1.93
15B2-2_exhale-i28_28.wav,0.93,2.07
15B2-2_exhale-i29_29.wav,0.94,2.06
15B2-2_exhale-i2_2.wav,1.4,1.6
15B2-2_exhale-i2_67.wav,1.72,1.28
15B2-2_exhale-i2_94.wav,2.7,0.2999999999999998
15B2-2_exhale-i30_30.wav,0.88,2.12
15B2-2_exhale-i31_31.wav,0.98,2.02
15B2-2_exhale-i32_32.wav,1.3,1.7
15B2-2_exhale-i33_33.wav,1.39,1.61
15B2-2_exhale-i34_34.wav,1.55,1.45
15B2-2_exhale-i35_35.wav,1.46,1.54
15B2-2_exhale-i36_36.wav,1.25,1.75
15B2-2_exhale-i37_37.wav,1.37,1.63
15B2-2_exhale-i38_38.wav,1.95,1.05
15B2-2_exhale-i39_39.wav,1.82,1.18
15B2-2_exhale-i3_3.wav,1.45,1.55
15B2-2_exhale-i3_68.wav,1.2,1.8
15B2-2_exhale-i3_95.wav,2.95,0.04999999999999982
15B2-2_exhale-i40_40.wav,1.17,1.83
15B2-2_exhale-i41_41.wav,1.01,1.99
15B2-2_exhale-i42_42.wav,1.57,1.43
15B2-2_exhale-i43_43.wav,1.46,1.54
15B2-2_exhale-i44_44.wav,1.22,1.78
15B2-2_exhale-i45_45.wav,1.76,1.24
15B2-2_exhale-i46_46.wav,1.92,1.08
15B2-2_exhale-i47_47.wav,2.3,0.7000000000000002
15B2-2_exhale-i48_48.wav,2.1,0.8999999999999999
15B2-2_exhale-i49_49.wav,2.04,0.96
15B2-2_exhale-i4_4.wav,2.14,0.8599999999999999
15B2-2_exhale-i4_69.wav,1.92,1.08
15B2-2_exhale-i4_96.wav,3.49,2.51
15B2-2_exhale-i50_50.wav,1.67,1.33
15B2-2_exhale-i51_51.wav,2.65,0.3500000000000001
15B2-2_exhale-i52_52.wav,2.13,0.8700000000000001
15B2-2_exhale-i53_53.wav,2.57,0.43000000000000016
15B2-2_exhale-i54_54.wav,2.41,0.5899999999999999
15B2-2_exhale-i55_55.wav,2.34,0.6600000000000001
15B2-2_exhale-i56_56.wav,2.2,0.7999999999999998
